angle;intensity
0;662
2;659
4;655
6;650
8;644
10;635
12;625
14;612
16;599
18;585
20;569
22;551
24;532
26;514
28;492
30;473
32;453
34;433
36;411
38;387
40;364
42;344
44;320
46;298
48;273
50;250
52;227
54;206
56;186
58;162.1
60;146.2
62;125.7
64;109.3
66;91.9
68;76.8
70;63
72;51.7
74;43
76;30.8
78;21.7
80;15.8
82;10.3
84;6.5
86;3.8
88;3.3
90;2.3
92;2.9
94;4.3
96;7.2
98;12.1
100;19.8
102;25.5
104;34.6
106;46
108;58.6
110;74.4
112;89.5
114;105.3
116;119.8
118;137.6
120;159
122;179.8
124;198
126;222
128;246
130;266
132;283
134;308
136;335
138;356
140;380
142;403
144;426
146;447
148;471
150;491
152;510
154;529
156;546
158;572
160;591
162;597
164;612
166;624
168;635
170;644
172;650
174;656
176;660
178;662
180;663